EmployeeID,Year,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,retirementType,resignationReason,Attrition
2577,2015,28,Travel_Frequently,Sales,8,3,Life Sciences,4,Married,11180,1,11,0,7,3,7,0,7,3,4,3,3,Not Applicable,Not Applicable,0
2578,2015,29,Travel_Frequently,Human Resources,2,4,Human Resources,2,Single,28750,1,11,0,1,3,1,0,0,3,1,3,3,Resignation,Salary,1
2579,2015,39,Non-Travel,Research & Development,8,5,Medical,2,Married,188240,6,19,1,10,4,3,1,2,1,3,3,3,Not Applicable,Not Applicable,0
2580,2015,27,Travel_Rarely,Sales,3,2,Technical Degree,2,Married,135770,1,12,1,6,2,5,1,2,2,2,2,3,Not Applicable,Not Applicable,0
2581,2015,34,Travel_Frequently,Research & Development,9,4,Life Sciences,2,Married,26250,1,12,3,16,4,15,6,11,3,4,3,3,Not Applicable,Not Applicable,0
2582,2015,28,Travel_Rarely,Research & Development,25,3,Technical Degree,1,Single,187890,3,16,1,6,4,2,2,2,4,3,3,3,Resignation,Others,1
2583,2015,47,Non-Travel,Research & Development,1,4,Medical,1,Married,45380,8,11,0,16,3,8,1,7,3,2,4,3,Not Applicable,Not Applicable,0
2584,2015,56,Travel_Rarely,Research & Development,4,3,Technical Degree,2,Married,198470,4,14,0,6,6,0,0,0,4,1,3,3,Not Applicable,Not Applicable,0
2585,2015,39,Travel_Rarely,Research & Development,1,3,Other,1,Married,105120,1,12,1,10,2,10,7,9,1,1,3,3,Not Applicable,Not Applicable,0
2586,2015,38,Travel_Frequently,Research & Development,4,2,Medical,1,Divorced,44440,1,13,0,20,2,20,0,7,4,2,3,3,Not Applicable,Not Applicable,0
2587,2015,58,Travel_Rarely,Sales,5,3,Marketing,5,Married,21540,4,21,1,29,3,1,0,0,4,4,2,3,Not Applicable,Not Applicable,0
2588,2015,32,Travel_Frequently,Research & Development,9,3,Life Sciences,2,Single,191900,3,17,1,8,2,4,0,3,1,3,3,3,Resignation,Others,1
2589,2015,38,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Divorced,44900,2,21,1,10,1,5,0,3,2,4,4,3,Not Applicable,Not Applicable,0
2590,2015,49,Travel_Frequently,Sales,11,4,Life Sciences,2,Married,35060,3,11,1,28,4,5,4,3,2,4,3,2,Not Applicable,Not Applicable,0
2591,2015,42,Travel_Rarely,Sales,1,3,Life Sciences,1,Divorced,23720,3,12,1,14,3,0,0,0,2,4,3,3,Not Applicable,Not Applicable,0
2592,2015,27,Travel_Frequently,Sales,8,1,Life Sciences,4,Married,102310,1,13,1,1,2,1,0,0,1,2,3,3,Resignation,Others,1
2593,2015,35,Travel_Rarely,Research & Development,25,1,Medical,1,Married,54100,0,18,0,6,4,5,0,4,2,1,1,3,Not Applicable,Not Applicable,0
2594,2015,28,Non-Travel,Research & Development,21,1,Medical,3,Single,79780,1,16,2,5,2,5,1,4,3,3,2,3,Not Applicable,Not Applicable,0
2595,2015,31,Non-Travel,Sales,23,1,Medical,1,Divorced,38670,1,11,1,4,4,4,2,3,3,1,4,4,Not Applicable,Not Applicable,0
2596,2015,36,Non-Travel,Research & Development,1,3,Life Sciences,2,Married,28380,1,19,2,5,5,5,0,2,1,2,3,1,Not Applicable,Not Applicable,0
2597,2015,34,Travel_Rarely,Sales,2,3,Marketing,4,Single,46950,1,16,1,14,2,14,2,1,1,4,2,3,Not Applicable,Not Applicable,0
2598,2015,34,Travel_Rarely,Research & Development,19,3,Technical Degree,1,Divorced,33390,1,16,0,9,2,8,1,1,4,3,2,2,Not Applicable,Not Applicable,0
2599,2015,26,Travel_Rarely,Research & Development,2,2,Life Sciences,2,Single,20800,0,13,0,8,6,7,7,6,3,1,2,4,Not Applicable,Not Applicable,0
2600,2015,29,Travel_Rarely,Research & Development,2,4,Other,2,Married,20960,0,22,0,6,2,5,0,2,1,1,2,4,Not Applicable,Not Applicable,0
2601,2015,32,Non-Travel,Research & Development,3,1,Life Sciences,3,Divorced,62090,5,17,1,9,5,5,1,2,3,4,3,4,Not Applicable,Not Applicable,0
2602,2015,31,Travel_Frequently,Research & Development,25,5,Technical Degree,2,Married,180610,1,14,1,10,2,10,8,7,4,1,3,3,Not Applicable,Not Applicable,0
2603,2015,28,Travel_Rarely,Sales,7,5,Life Sciences,2,Divorced,171230,5,15,1,6,2,4,0,3,3,4,2,2,Resignation,Others,1
2604,2015,38,Travel_Rarely,Research & Development,9,2,Technical Degree,3,Single,23720,4,12,0,20,3,1,0,0,1,1,2,2,Not Applicable,Not Applicable,0
2605,2015,35,Travel_Rarely,Research & Development,5,3,Life Sciences,2,Married,48830,1,18,1,10,1,10,0,9,3,4,3,1,Not Applicable,Not Applicable,0
2606,2015,27,Travel_Rarely,Sales,2,3,Life Sciences,1,Single,39040,1,15,0,7,2,7,0,7,4,4,3,3,Not Applicable,Not Applicable,0
2607,2015,32,Travel_Rarely,Research & Development,8,1,Medical,2,Single,46270,8,17,1,8,2,1,0,0,4,4,3,2,Not Applicable,Not Applicable,0
2608,2015,31,Travel_Frequently,Research & Development,2,1,Other,3,Married,70940,1,14,1,10,2,10,0,8,1,4,3,3,Resignation,Salary,1
2609,2015,53,Travel_Rarely,Research & Development,18,3,Medical,1,Single,34230,6,15,1,15,4,2,2,2,1,1,2,3,Fired,Not Applicable,1
2610,2015,54,Travel_Rarely,Research & Development,14,3,Other,3,Married,66740,3,17,1,9,2,4,2,3,1,3,2,3,Not Applicable,Not Applicable,0
2611,2015,33,Travel_Frequently,Research & Development,2,4,Medical,4,Divorced,168800,1,14,3,9,2,9,2,8,4,3,3,3,Not Applicable,Not Applicable,0
2612,2015,43,Travel_Rarely,Research & Development,3,3,Medical,1,Married,90940,1,12,1,10,0,10,0,9,1,3,3,3,Not Applicable,Not Applicable,0
2613,2015,38,Travel_Frequently,Research & Development,2,5,Medical,4,Married,84460,0,14,0,7,3,6,1,2,4,2,3,2,Not Applicable,Not Applicable,0
2614,2015,55,Travel_Rarely,Sales,9,3,Marketing,2,Married,119160,4,15,1,35,3,10,1,4,3,2,3,2,Not Applicable,Not Applicable,0
2615,2015,31,Travel_Rarely,Sales,6,3,Other,1,Divorced,45340,1,13,0,1,2,1,0,0,4,4,3,3,Not Applicable,Not Applicable,0
2616,2015,39,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Single,98520,0,12,1,21,5,20,11,10,2,1,3,2,Not Applicable,Not Applicable,0
2617,2015,42,Non-Travel,Research & Development,10,4,Life Sciences,2,Single,61510,1,13,1,20,3,20,3,7,4,3,3,3,Not Applicable,Not Applicable,0
2618,2015,31,Non-Travel,Research & Development,14,2,Life Sciences,2,Married,23020,4,14,0,13,3,11,4,8,3,3,4,3,Not Applicable,Not Applicable,0
2619,2015,54,Travel_Rarely,Research & Development,1,3,Medical,2,Single,23620,6,13,1,9,2,5,1,4,3,1,3,4,Not Applicable,Not Applicable,0
2620,2015,24,Travel_Rarely,Research & Development,5,4,Other,1,Single,178610,1,11,2,4,5,4,1,2,2,3,2,1,Not Applicable,Not Applicable,0
2621,2015,23,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Single,191870,1,11,1,5,2,5,1,4,4,4,4,3,Not Applicable,Not Applicable,0
2622,2015,40,Travel_Frequently,Research & Development,21,3,Medical,3,Married,197170,1,21,0,10,1,10,9,4,4,3,4,2,Not Applicable,Not Applicable,0
2623,2015,40,Travel_Rarely,Research & Development,8,1,Medical,5,Married,35440,3,18,3,15,3,11,5,10,2,2,3,2,Not Applicable,Not Applicable,0
2624,2015,25,Travel_Rarely,Sales,20,5,Medical,2,Married,85000,4,12,0,6,2,2,1,2,3,2,3,3,Not Applicable,Not Applicable,0
2625,2015,30,Travel_Rarely,Human Resources,20,4,Life Sciences,2,Married,46610,1,11,0,12,3,12,1,7,4,2,2,2,Not Applicable,Not Applicable,0
2626,2015,25,Travel_Rarely,Research & Development,7,2,Medical,5,Divorced,41030,6,15,1,7,2,2,0,2,4,3,2,3,Not Applicable,Not Applicable,0
2627,2015,47,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Single,42490,2,13,1,25,2,17,12,11,1,3,3,2,Not Applicable,Not Applicable,0
2628,2015,33,Non-Travel,Research & Development,1,3,Life Sciences,2,Divorced,140260,1,12,0,1,4,1,0,0,2,3,2,3,Not Applicable,Not Applicable,0
2629,2015,38,Travel_Rarely,Research & Development,19,3,Life Sciences,2,Married,68930,0,17,0,16,3,15,5,8,4,2,3,3,Not Applicable,Not Applicable,0
2630,2015,31,Travel_Rarely,Research & Development,10,4,Medical,3,Married,61250,0,13,1,3,3,2,1,2,1,3,3,3,Not Applicable,Not Applicable,0
2631,2015,38,Travel_Frequently,Research & Development,1,4,Other,2,Married,36690,2,19,0,10,2,8,7,7,1,3,3,3,Not Applicable,Not Applicable,0
2632,2015,42,Travel_Rarely,Research & Development,6,3,Medical,2,Divorced,100080,6,19,1,9,3,4,1,2,4,1,2,1,Not Applicable,Not Applicable,0
2633,2015,41,Travel_Rarely,Sales,2,2,Medical,1,Married,23870,3,17,1,12,1,5,1,0,4,4,3,1,Not Applicable,Not Applicable,0
2634,2015,47,Non-Travel,Research & Development,21,2,Medical,1,Married,46390,0,11,1,14,2,13,5,12,3,2,1,2,Not Applicable,Not Applicable,0
2635,2015,35,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Married,78980,7,15,0,5,2,2,2,2,4,3,3,2,Not Applicable,Not Applicable,0
2636,2015,22,Travel_Rarely,Human Resources,12,1,Human Resources,2,Single,25340,0,11,0,4,1,3,1,2,4,3,4,3,Not Applicable,Not Applicable,0
2637,2015,35,Travel_Rarely,Research & Development,9,3,Medical,2,Single,131420,1,25,2,10,4,10,0,8,2,3,3,3,Not Applicable,Not Applicable,0
2638,2015,33,Travel_Rarely,Sales,3,4,Medical,3,Married,16110,0,14,0,10,2,9,8,1,2,4,3,2,Not Applicable,Not Applicable,0
2639,2015,32,Travel_Rarely,Research & Development,3,2,Technical Degree,3,Single,53630,1,13,0,6,4,6,4,1,3,2,3,3,Not Applicable,Not Applicable,0
2640,2015,40,Travel_Rarely,Research & Development,1,4,Medical,2,Married,50710,8,17,1,8,3,1,0,0,1,4,2,2,Not Applicable,Not Applicable,0
2641,2015,32,Travel_Rarely,Research & Development,1,2,Medical,3,Married,136950,0,13,0,3,3,2,2,2,2,2,3,3,Not Applicable,Not Applicable,0
2642,2015,39,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Single,134020,7,14,1,18,1,7,1,7,1,4,3,3,Not Applicable,Not Applicable,0
2643,2015,38,Travel_Rarely,Sales,20,4,Medical,2,Married,20290,3,11,1,20,3,18,1,11,2,3,3,2,Not Applicable,Not Applicable,0
2644,2015,32,Travel_Rarely,Research & Development,18,3,Life Sciences,2,Married,63770,1,12,2,14,3,14,5,7,3,4,3,3,Not Applicable,Not Applicable,0
2645,2015,37,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Married,54290,1,17,1,16,3,16,6,8,3,4,3,3,Not Applicable,Not Applicable,0
2646,2015,25,Travel_Rarely,Research & Development,2,4,Medical,2,Divorced,27850,0,21,0,6,2,5,0,4,1,3,2,3,Not Applicable,Not Applicable,0
2647,2015,52,Non-Travel,Research & Development,2,4,Other,1,Divorced,46140,2,16,1,16,3,9,0,0,1,4,2,3,Not Applicable,Not Applicable,0
2648,2015,44,Travel_Rarely,Research & Development,8,1,Life Sciences,1,Single,26100,6,15,0,6,2,4,1,2,2,4,3,3,Not Applicable,Not Applicable,0
2649,2015,21,Travel_Rarely,Sales,10,5,Medical,3,Single,66870,1,19,3,2,0,2,1,2,3,1,3,3,Not Applicable,Not Applicable,0
2650,2015,39,Non-Travel,Research & Development,3,4,Life Sciences,2,Single,47240,2,12,1,21,4,6,1,3,4,4,2,4,Not Applicable,Not Applicable,0
2651,2015,23,Travel_Frequently,Research & Development,2,4,Life Sciences,2,Married,61790,1,11,0,1,3,1,1,0,4,1,2,3,Fired,Not Applicable,1
2652,2015,36,Travel_Rarely,Research & Development,24,3,Life Sciences,2,Married,61200,0,19,0,10,2,9,3,4,1,4,3,3,Not Applicable,Not Applicable,0
2653,2015,36,Travel_Frequently,Research & Development,16,1,Medical,2,Divorced,105960,7,15,0,18,3,4,0,2,4,2,3,2,Not Applicable,Not Applicable,0
2654,2015,56,Non-Travel,Research & Development,8,1,Life Sciences,1,Divorced,54670,1,20,0,13,6,13,1,9,3,3,2,2,Not Applicable,Not Applicable,0
2655,2015,29,Travel_Rarely,Research & Development,9,4,Medical,2,Married,29960,9,25,0,4,4,2,2,2,1,4,4,3,Resignation,Stress,1
2656,2015,42,Travel_Rarely,Research & Development,17,1,Life Sciences,3,Married,99980,5,24,2,24,3,22,4,14,1,3,2,2,Not Applicable,Not Applicable,0
2657,2015,56,Travel_Rarely,Sales,10,4,Other,2,Married,40780,8,24,1,14,3,10,9,8,4,3,1,3,Resignation,Stress,1
2658,2015,41,Travel_Rarely,Research & Development,13,4,Life Sciences,1,Married,109200,0,15,1,21,3,20,0,10,1,2,3,4,Not Applicable,Not Applicable,0
2659,2015,34,Travel_Rarely,Sales,1,3,Medical,1,Married,62320,1,13,1,8,3,8,1,7,4,3,3,3,Not Applicable,Not Applicable,0
2660,2015,36,Non-Travel,Sales,1,1,Medical,1,Divorced,132470,1,14,0,15,3,15,11,11,4,4,2,3,Not Applicable,Not Applicable,0
2661,2015,41,Travel_Rarely,Research & Development,1,5,Medical,1,Divorced,40810,2,13,0,14,3,5,0,4,3,2,3,3,Not Applicable,Not Applicable,0
2662,2015,32,Travel_Rarely,Sales,9,4,Life Sciences,2,Single,57690,1,11,0,4,3,4,1,2,4,1,3,3,Not Applicable,Not Applicable,0
2663,2015,35,Travel_Rarely,Research & Development,16,3,Medical,2,Single,23940,1,16,1,9,3,9,1,7,3,4,3,3,Not Applicable,Not Applicable,0
2664,2015,38,Travel_Rarely,Research & Development,23,3,Medical,3,Married,39040,1,22,0,10,3,10,1,9,1,4,3,2,Not Applicable,Not Applicable,0
2665,2015,50,Travel_Frequently,Sales,4,2,Life Sciences,2,Divorced,167990,7,14,1,12,2,6,0,1,2,3,3,2,Resignation,Others,1
2666,2015,36,Travel_Rarely,Research & Development,22,4,Life Sciences,1,Married,29500,4,14,0,8,1,6,0,0,2,4,2,2,Not Applicable,Not Applicable,0
2667,2015,45,Travel_Rarely,Sales,24,3,Life Sciences,1,Single,36290,8,16,1,8,2,5,0,1,4,3,3,4,Not Applicable,Not Applicable,0
2668,2015,40,Travel_Rarely,Sales,10,4,Life Sciences,1,Single,93620,2,11,1,8,6,2,2,2,3,3,3,3,Not Applicable,Not Applicable,0
2669,2015,35,Travel_Frequently,Sales,7,2,Life Sciences,2,Married,32290,1,25,0,10,2,10,0,2,3,3,4,2,Not Applicable,Not Applicable,0
2670,2015,40,Travel_Rarely,Research & Development,17,4,Life Sciences,1,Married,35780,2,14,1,20,2,5,0,2,3,3,3,3,Not Applicable,Not Applicable,0
2671,2015,35,Travel_Rarely,Human Resources,14,1,Life Sciences,2,Married,79880,1,18,0,4,3,4,1,1,3,4,3,3,Not Applicable,Not Applicable,0
2672,2015,29,Travel_Rarely,Research & Development,1,3,Medical,3,Married,42840,4,11,0,10,5,4,0,3,4,2,3,2,Not Applicable,Not Applicable,0
2673,2015,29,Travel_Rarely,Research & Development,5,3,Medical,2,Single,75530,1,19,0,5,3,5,0,4,4,1,1,3,Not Applicable,Not Applicable,0
2674,2015,50,Travel_Rarely,Research & Development,17,3,Medical,1,Divorced,173280,4,15,2,20,1,3,2,0,4,1,3,3,Resignation,Salary,1
2675,2015,39,Travel_Rarely,Sales,25,3,Medical,2,Married,197010,0,11,0,21,3,20,9,6,2,4,2,4,Not Applicable,Not Applicable,0
2676,2015,31,Non-Travel,Research & Development,8,4,Life Sciences,4,Single,147320,0,12,0,10,3,9,1,7,2,1,3,3,Not Applicable,Not Applicable,0
2677,2015,26,Travel_Rarely,Research & Development,11,4,Medical,2,Single,92780,0,20,0,5,3,4,0,0,4,3,3,3,Not Applicable,Not Applicable,0
2678,2015,36,Travel_Frequently,Research & Development,5,1,Technical Degree,1,Married,13590,4,12,0,17,2,5,0,3,3,4,3,3,Not Applicable,Not Applicable,0
2679,2015,39,Travel_Rarely,Research & Development,2,1,Medical,1,Married,47790,4,14,2,9,3,7,1,7,4,1,3,3,Not Applicable,Not Applicable,0
2680,2015,27,Travel_Rarely,Research & Development,8,2,Medical,1,Married,164220,1,20,1,6,3,6,0,3,2,2,3,3,Not Applicable,Not Applicable,0
2681,2015,49,Travel_Frequently,Research & Development,6,1,Medical,3,Married,29960,2,18,1,17,2,9,0,8,4,2,2,2,Not Applicable,Not Applicable,0
2682,2015,34,Travel_Rarely,Sales,4,3,Medical,1,Married,12610,2,14,1,6,6,4,1,2,2,3,4,3,Not Applicable,Not Applicable,0
2683,2015,41,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Single,20990,8,12,1,8,2,6,0,5,2,4,1,3,Resignation,Others,1
2684,2015,49,Travel_Frequently,Sales,1,4,Life Sciences,2,Married,58100,1,21,1,10,2,10,1,7,3,2,3,3,Not Applicable,Not Applicable,0
2685,2015,37,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Single,56470,6,19,0,7,2,0,0,0,4,3,3,3,Resignation,Others,1
2686,2015,33,Travel_Frequently,Research & Development,10,2,Medical,2,Married,34200,1,14,0,8,3,8,3,0,4,3,3,3,Not Applicable,Not Applicable,0
2687,2015,27,Travel_Rarely,Sales,5,4,Medical,4,Married,44000,9,17,1,6,3,2,2,2,1,2,3,2,Not Applicable,Not Applicable,0
2688,2015,32,Travel_Frequently,Research & Development,9,2,Medical,2,Single,35000,0,16,1,8,2,7,3,6,4,4,2,2,Not Applicable,Not Applicable,0
2689,2015,59,Travel_Rarely,Sales,2,2,Marketing,5,Married,20660,4,12,1,12,3,1,0,0,3,1,2,3,Not Applicable,Not Applicable,0
2690,2015,30,Travel_Rarely,Research & Development,11,4,Medical,2,Divorced,171690,1,17,2,1,2,1,0,0,4,3,3,3,Not Applicable,Not Applicable,0
2691,2015,38,Travel_Frequently,Sales,18,4,Life Sciences,2,Single,41620,0,15,1,10,1,9,1,8,4,3,3,3,Not Applicable,Not Applicable,0
2692,2015,36,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Married,92040,6,23,1,17,2,7,7,7,3,3,2,3,Not Applicable,Not Applicable,0
2693,2015,35,Travel_Rarely,Human Resources,3,4,Human Resources,2,Married,32940,0,11,0,6,2,5,0,3,1,2,3,3,Not Applicable,Not Applicable,0
2694,2015,29,Travel_Rarely,Sales,29,4,Life Sciences,2,Single,21270,0,11,1,10,3,9,0,8,4,3,3,2,Not Applicable,Not Applicable,0
2695,2015,31,Travel_Rarely,Research & Development,2,2,Medical,2,Divorced,39750,1,15,1,5,3,5,4,3,1,3,2,3,Not Applicable,Not Applicable,0
2696,2015,34,Travel_Rarely,Research & Development,28,3,Technical Degree,1,Divorced,107930,0,11,3,3,1,2,1,2,2,4,3,2,Not Applicable,Not Applicable,0
2697,2015,28,Travel_Rarely,Research & Development,1,4,Life Sciences,5,Single,100960,2,13,0,6,2,4,0,3,3,3,3,3,Resignation,Others,1
2698,2015,29,Travel_Rarely,Research & Development,16,2,Life Sciences,4,Divorced,36460,1,14,0,10,3,10,8,8,2,1,3,4,Not Applicable,Not Applicable,0
2699,2015,32,Travel_Rarely,Human Resources,22,3,Human Resources,2,Divorced,74460,0,19,0,7,3,6,0,5,1,2,2,3,Not Applicable,Not Applicable,0
2700,2015,22,Non-Travel,Research & Development,8,3,Life Sciences,3,Divorced,108510,1,16,1,1,2,1,0,0,4,4,2,4,Not Applicable,Not Applicable,0
2701,2015,53,Travel_Rarely,Research & Development,11,3,Medical,2,Married,21090,2,13,0,31,3,25,3,7,1,4,3,3,Not Applicable,Not Applicable,0
2702,2015,38,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Single,37220,5,14,0,6,0,3,1,2,4,4,3,3,Not Applicable,Not Applicable,0
2703,2015,24,Non-Travel,Research & Development,1,5,Life Sciences,3,Divorced,93800,0,16,0,5,2,4,1,3,1,3,2,2,Not Applicable,Not Applicable,0
2704,2015,36,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Single,54860,7,12,1,10,2,5,0,3,3,1,3,3,Resignation,Salary,1
2705,2015,34,Travel_Rarely,Sales,24,3,Marketing,4,Single,27420,0,11,1,13,2,12,2,11,1,2,3,3,Not Applicable,Not Applicable,0
2706,2015,21,Travel_Rarely,Sales,2,3,Life Sciences,2,Single,137570,1,12,1,0,3,0,0,0,3,4,3,3,Not Applicable,Not Applicable,0
2707,2015,34,Travel_Rarely,Sales,15,2,Marketing,2,Single,84630,2,13,0,8,2,4,1,3,2,1,3,1,Resignation,Others,1
2708,2015,53,Travel_Rarely,Sales,2,1,Life Sciences,5,Divorced,31620,4,15,0,26,4,14,4,8,3,3,2,3,Not Applicable,Not Applicable,0
2709,2015,32,Travel_Frequently,Research & Development,10,3,Medical,2,Single,165980,1,13,0,10,2,10,6,7,2,1,3,3,Resignation,Salary,1
2710,2015,42,Travel_Rarely,Research & Development,10,3,Technical Degree,2,Married,66510,0,20,0,10,5,9,4,2,3,2,3,2,Not Applicable,Not Applicable,0
2711,2015,44,Travel_Rarely,Research & Development,3,1,Life Sciences,1,Married,23450,3,15,2,24,0,22,5,17,1,4,3,3,Not Applicable,Not Applicable,0
2712,2015,46,Travel_Rarely,Sales,2,3,Life Sciences,1,Single,34200,3,13,2,22,3,2,2,1,2,1,2,1,Not Applicable,Not Applicable,0
2713,2015,33,Travel_Rarely,Sales,3,3,Medical,1,Single,43730,4,14,0,7,3,1,0,0,3,4,3,3,Not Applicable,Not Applicable,0
2714,2015,44,Travel_Rarely,Human Resources,26,3,Life Sciences,5,Married,47590,2,21,0,9,2,4,1,3,4,4,4,3,Not Applicable,Not Applicable,0
2715,2015,30,Travel_Rarely,Research & Development,1,4,Technical Degree,1,Single,53010,1,16,1,10,3,10,1,8,4,3,3,3,Not Applicable,Not Applicable,0
2716,2015,39,Travel_Rarely,Human Resources,1,4,Medical,1,Married,36730,3,14,1,19,3,1,0,0,4,4,4,3,Resignation,Others,1
2717,2015,24,Travel_Rarely,Human Resources,2,5,Human Resources,3,Married,47680,2,11,1,6,2,2,2,0,2,4,2,2,Fired,Not Applicable,1
2718,2015,43,Travel_Rarely,Sales,9,5,Technical Degree,1,Divorced,12740,1,19,0,6,3,5,1,4,4,3,2,2,Not Applicable,Not Applicable,0
2719,2015,50,Travel_Rarely,Research & Development,12,4,Medical,1,Married,49000,1,11,0,3,3,3,0,2,1,3,3,2,Resignation,Others,1
2720,2015,35,Travel_Rarely,Sales,2,4,Marketing,3,Married,104660,1,13,0,2,1,2,2,2,4,4,3,3,Not Applicable,Not Applicable,0
2721,2015,36,Travel_Rarely,Research & Development,25,1,Life Sciences,4,Married,170070,9,12,1,6,2,1,0,0,2,1,4,2,Not Applicable,Not Applicable,0
2722,2015,33,Travel_Frequently,Sales,9,2,Marketing,4,Married,29090,2,11,0,10,2,5,1,3,3,1,3,2,Not Applicable,Not Applicable,0
2723,2015,35,Travel_Rarely,Research & Development,10,1,Medical,1,Divorced,57650,1,14,1,1,2,1,0,0,3,4,3,3,Not Applicable,Not Applicable,0
2724,2015,27,Travel_Rarely,Sales,8,2,Marketing,3,Divorced,45990,1,15,1,1,3,1,0,0,4,1,3,2,Not Applicable,Not Applicable,0
2725,2015,26,Travel_Rarely,Sales,4,3,Marketing,2,Single,24040,1,12,0,1,6,1,0,1,1,3,2,3,Fired,Not Applicable,1
2726,2015,27,Travel_Frequently,Sales,24,3,Life Sciences,4,Single,31720,1,20,1,9,1,9,1,7,4,3,3,3,Not Applicable,Not Applicable,0
2727,2015,30,Travel_Frequently,Research & Development,1,4,Medical,1,Single,20330,1,14,1,12,3,12,3,7,3,4,3,1,Not Applicable,Not Applicable,0
2728,2015,41,Travel_Rarely,Sales,20,4,Marketing,2,Married,102090,1,13,1,23,2,22,15,8,2,3,3,3,Resignation,Others,1
2729,2015,34,Non-Travel,Research & Development,7,2,Technical Degree,1,Single,86200,0,13,1,10,2,9,8,7,2,3,3,2,Not Applicable,Not Applicable,0
2730,2015,37,Travel_Rarely,Research & Development,17,3,Life Sciences,3,Married,20640,4,16,0,8,3,1,0,0,2,2,3,2,Not Applicable,Not Applicable,0
2731,2015,46,Travel_Frequently,Research & Development,20,3,Technical Degree,3,Single,40350,4,14,1,14,2,9,0,8,1,4,3,3,Not Applicable,Not Applicable,0
2732,2015,35,Travel_Rarely,Research & Development,8,4,Medical,3,Married,38380,1,16,1,1,2,1,0,1,4,4,3,3,Not Applicable,Not Applicable,0
2733,2015,48,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Single,45910,9,16,0,23,6,1,0,0,1,3,3,1,Resignation,Others,1
2734,2015,28,Travel_Rarely,Research & Development,10,1,Medical,1,Single,25610,1,22,1,2,3,2,2,2,3,3,2,3,Resignation,Others,1
2735,2015,44,Travel_Rarely,Research & Development,1,1,Medical,3,Divorced,15630,5,12,2,9,3,4,1,3,2,1,2,3,Not Applicable,Not Applicable,0
2736,2015,35,Non-Travel,Research & Development,5,4,Technical Degree,3,Married,48980,2,15,2,10,2,4,2,3,3,1,3,3,Not Applicable,Not Applicable,0
2737,2015,26,Travel_Rarely,Research & Development,4,4,Life Sciences,3,Married,47890,7,20,1,5,2,2,0,0,3,4,2,3,Not Applicable,Not Applicable,0
2738,2015,33,Travel_Frequently,Sales,29,4,Life Sciences,1,Single,31800,1,14,1,15,2,15,8,12,1,4,3,3,Not Applicable,Not Applicable,0
2739,2015,35,Travel_Frequently,Research & Development,15,3,Medical,3,Married,65490,1,20,0,9,3,9,1,8,2,1,2,3,Not Applicable,Not Applicable,0
2740,2015,35,Travel_Rarely,Human Resources,3,2,Life Sciences,1,Married,63880,3,13,0,4,6,2,2,2,3,1,3,2,Not Applicable,Not Applicable,0
2741,2015,31,Travel_Rarely,Sales,10,2,Life Sciences,2,Divorced,112440,3,12,1,10,3,7,1,7,4,4,2,3,Not Applicable,Not Applicable,0
2742,2015,37,Travel_Rarely,Sales,4,3,Marketing,4,Divorced,160320,1,13,0,7,2,7,0,7,1,3,4,3,Not Applicable,Not Applicable,0
2743,2015,32,Travel_Rarely,Research & Development,21,3,Other,2,Married,23620,1,11,0,9,2,9,7,8,1,4,3,3,Not Applicable,Not Applicable,0
2744,2015,38,Travel_Frequently,Research & Development,25,3,Medical,2,Single,163280,1,17,3,10,2,10,9,9,4,4,3,3,Not Applicable,Not Applicable,0
2745,2015,50,Travel_Rarely,Sales,2,4,Marketing,4,Divorced,83760,5,14,3,29,2,27,13,8,2,3,2,3,Not Applicable,Not Applicable,0
2746,2015,59,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Single,166060,7,11,0,28,6,21,7,9,1,1,2,3,Not Applicable,Not Applicable,0
2747,2015,36,Travel_Rarely,Sales,1,2,Marketing,2,Divorced,86060,1,14,2,17,3,17,12,8,3,3,3,3,Not Applicable,Not Applicable,0
2748,2015,55,Travel_Rarely,Research & Development,7,3,Medical,3,Divorced,22720,2,17,1,21,2,5,0,2,4,3,3,3,Not Applicable,Not Applicable,0
2749,2015,36,Travel_Frequently,Research & Development,3,3,Life Sciences,2,Single,20180,1,13,0,6,5,6,0,3,2,2,3,3,Not Applicable,Not Applicable,0
